Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Delivery_distance,Time_to_pick,Month,Time_of_Day_Ordered
33.0,4.3,Sandstorms,Jam,0,Drinks,motorcycle,0.0,0,HYD,48,13.83,15.0,Apr,Night
21.0,4.8,Cloudy,Jam,0,Drinks,motorcycle,1.0,0,BANG,26,4.66,10.2,Mar,Night
24.0,4.8,Sandstorms,Low,2,Snack,motorcycle,1.0,0,AGR,18,20.83,5.4,Feb,Night
30.0,4.9,Fog,Jam,1,Drinks,motorcycle,1.0,0,JAP,33,8.94,15.0,Mar,Night
30.0,4.7,Stormy,Medium,0,Buffet,motorcycle,0.0,0,HYD,33,16.9,5.4,Apr,Evening
24.0,4.9,Fog,Low,1,Buffet,motorcycle,1.0,0,RANCHI,15,3.02,10.2,Mar,Morning
34.0,4.1,Sandstorms,Medium,0,Snack,motorcycle,0.0,0,MYS,47,13.99,15.0,Mar,Night
20.0,4.7,Fog,High,1,Drinks,scooter,1.0,0,VAD,25,3.03,4.8,Mar,Morning
31.0,4.6,Windy,Low,0,Drinks,motorcycle,1.0,0,LUDH,29,13.18,9.6,Feb,Night
21.0,5.0,Sandstorms,High,1,Meal,scooter,1.0,0,KOC,19,6.24,10.2,Feb,Evening
37.0,4.6,Fog,Jam,1,Snack,scooter,1.0,0,AURG,32,7.63,5.4,Feb,Night
35.0,4.9,Sandstorms,Jam,1,Drinks,motorcycle,1.0,0,RANCHI,33,9.06,15.0,Mar,Night
27.0,4.8,Windy,Medium,1,Drinks,scooter,0.0,0,BANG,16,12.42,9.6,Mar,Evening
21.0,4.9,Sunny,Low,2,Drinks,motorcycle,0.0,0,PUNE,20,1.53,15.0,Mar,Morning
24.0,4.9,Cloudy,Low,0,Snack,motorcycle,0.0,0,VAD,21,19.69,9.6,Mar,Night
30.0,3.8,Sandstorms,Medium,1,Buffet,motorcycle,1.0,0,JAP,39,19.36,9.6,Mar,Night
35.0,4.5,Windy,Low,2,Snack,scooter,1.0,0,KNP,28,20.89,15.0,Feb,Night
34.0,4.6,Windy,Jam,0,Buffet,motorcycle,1.0,0,COIMB,48,20.25,5.4,Mar,Night
23.0,4.9,Sandstorms,Medium,1,Meal,scooter,1.0,0,RANCHI,17,16.6,4.8,Apr,Evening
38.0,4.5,Windy,Low,2,Snack,electric_scooter,1.0,0,BANG,25,13.97,9.6,Mar,Night
20.0,4.6,Sunny,Medium,1,Snack,motorcycle,1.0,0,RANCHI,11,9.06,10.2,Mar,Evening
35.0,4.9,Sunny,Low,2,Meal,electric_scooter,1.0,0,INDO,17,1.51,15.0,Mar,Morning
37.0,4.9,Fog,Low,1,Drinks,scooter,1.0,0,VAD,27,16.66,10.2,Mar,Night
34.0,4.9,Sunny,Medium,2,Buffet,scooter,1.0,0,HYD,18,6.15,10.2,Mar,Evening
33.0,4.1,Fog,Jam,2,Meal,electric_scooter,1.0,0,COIMB,39,7.79,9.6,Mar,Night
34.0,4.8,Sandstorms,Low,2,Drinks,electric_scooter,0.0,0,BANG,23,1.55,4.8,Mar,Morning
21.0,4.8,Stormy,Jam,2,Buffet,motorcycle,1.0,0,BANG,17,13.97,15.0,Mar,Night
30.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,0,PUNE,18,6.13,10.2,Mar,Evening
29.0,4.8,Windy,Jam,1,Drinks,scooter,1.0,0,CHEN,29,7.76,4.8,Mar,Night
34.0,4.7,Windy,Jam,2,Buffet,electric_scooter,0.0,0,BANG,25,12.42,15.0,Mar,Night
30.0,4.5,Sunny,Jam,1,Drinks,motorcycle,1.0,0,GOA,22,12.35,10.2,Feb,Night
21.0,4.9,Fog,Medium,2,Drinks,scooter,0.0,0,MYS,19,9.33,5.4,Mar,Night
28.0,4.7,Sunny,Low,2,Buffet,scooter,0.0,0,DEH,22,2.94,15.0,Feb,Morning
22.0,4.6,Sunny,Jam,0,Meal,motorcycle,1.0,0,RANCHI,24,20.44,15.0,Mar,Night
28.0,4.9,Stormy,High,0,Meal,motorcycle,1.0,0,KOL,22,6.05,15.0,Feb,Evening
33.0,5.0,Sunny,Jam,2,Snack,motorcycle,0.0,0,RANCHI,22,12.07,15.0,Apr,Night
22.0,4.9,Sunny,Low,0,Meal,motorcycle,0.0,0,JAP,23,19.36,15.0,Mar,Night
20.0,4.8,Cloudy,Low,2,Snack,scooter,0.0,0,SUR,13,3.04,15.0,Mar,Morning
20.0,5.0,Windy,Medium,1,Drinks,scooter,1.0,0,RANCHI,28,6.29,10.2,Mar,Evening
20.0,4.6,Windy,Jam,1,Buffet,motorcycle,1.0,0,COIMB,17,10.91,10.2,Mar,Night
30.0,4.2,Sandstorms,Jam,2,Buffet,scooter,1.0,0,CHEN,43,20.18,10.2,Mar,Night
21.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,0,JAP,20,1.49,10.2,Mar,Morning
37.0,3.7,Sandstorms,Jam,1,Drinks,scooter,1.0,0,JAP,37,19.36,15.0,Mar,Night
24.0,4.4,Sunny,Jam,0,Meal,motorcycle,1.0,0,INDO,44,7.56,4.8,Mar,Night
28.0,4.8,Sunny,Low,2,Meal,electric_scooter,1.0,0,ALH,22,7.49,10.2,Feb,Night
28.0,5.0,Cloudy,Jam,2,Meal,scooter,2.0,0,PUNE,44,13.79,15.0,Mar,Night
28.0,4.6,Stormy,Medium,0,Snack,motorcycle,0.0,0,CHEN,20,17.07,4.8,Apr,Evening
31.0,4.6,Sunny,Jam,0,Snack,motorcycle,2.0,0,JAP,39,10.43,15.0,Mar,Night
22.0,4.9,Sandstorms,Jam,0,Drinks,motorcycle,1.0,0,SUR,26,12.16,15.0,Mar,Night
33.0,4.7,Sunny,Medium,2,Meal,motorcycle,1.0,0,JAP,26,10.43,15.0,Mar,Evening
22.0,4.7,Fog,Low,0,Drinks,motorcycle,1.0,0,MUM,20,4.59,9.6,Mar,Night
31.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,1.0,0,VAD,36,20.44,15.0,Mar,Night
27.0,4.6,Sunny,Medium,1,Meal,scooter,0.0,0,ALH,14,11.98,10.2,Feb,Night
28.0,4.8,Sandstorms,Jam,2,Snack,scooter,0.0,0,HYD,15,13.83,10.2,Mar,Night
30.0,4.8,Cloudy,Low,2,Buffet,electric_scooter,1.0,0,MYS,18,3.11,9.6,Mar,Morning
20.0,4.7,Windy,High,2,Drinks,scooter,0.0,0,MYS,13,6.22,10.2,Mar,Evening
23.0,4.3,Sunny,Jam,0,Drinks,motorcycle,3.0,0,MYS,54,4.66,15.0,Mar,Night
26.0,5.0,Cloudy,Jam,2,Snack,scooter,1.0,0,VAD,24,4.72,10.2,Apr,Night
32.0,4.9,Cloudy,High,1,Meal,motorcycle,1.0,0,COIMB,26,1.56,4.8,Mar,Morning
35.0,4.4,Windy,Medium,2,Meal,scooter,1.0,0,JAP,37,13.41,15.0,Apr,Evening
24.0,4.9,Fog,Medium,1,Drinks,scooter,1.0,0,MYS,26,20.21,4.8,Mar,Evening
36.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,1.0,0,LUDH,51,16.11,9.6,Feb,Night
39.0,4.7,Sandstorms,Medium,1,Snack,motorcycle,1.0,0,BANG,26,6.21,5.4,Mar,Evening
25.0,4.6,Cloudy,Low,0,Snack,motorcycle,0.0,0,CHEN,17,4.66,4.8,Mar,Night
27.0,4.4,Sunny,High,0,Buffet,motorcycle,1.0,0,HYD,47,6.15,15.0,Mar,Evening
35.0,4.6,Fog,Low,0,Snack,motorcycle,0.0,0,SUR,40,16.72,15.0,Mar,Night
35.0,3.8,Sunny,Jam,1,Meal,motorcycle,0.0,0,PUNE,32,16.85,4.8,Apr,Night
21.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,1.0,0,INDO,45,10.59,10.2,Mar,Night
26.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,0,SUR,26,9.12,10.2,Mar,Night
36.0,4.9,Windy,Low,2,Snack,motorcycle,1.0,0,PUNE,23,12.26,5.4,Mar,Night
28.0,4.7,Sandstorms,Medium,0,Meal,motorcycle,1.0,0,SUR,29,6.08,15.0,Mar,Evening
21.0,4.7,Windy,Medium,2,Drinks,scooter,0.0,0,PUNE,18,19.92,4.8,Mar,Evening
20.0,4.1,Cloudy,Jam,1,Snack,scooter,1.0,0,MYS,39,12.44,15.0,Mar,Night
36.0,4.4,Stormy,Medium,0,Snack,motorcycle,1.0,0,RANCHI,49,13.58,5.4,Mar,Night
25.0,4.0,Stormy,Low,0,Buffet,motorcycle,0.0,0,SUR,15,1.52,9.6,Apr,Morning
21.0,4.6,Windy,High,2,Drinks,electric_scooter,1.0,0,KNP,15,5.97,10.2,Feb,Evening
37.0,3.5,Windy,Jam,1,Meal,motorcycle,2.0,0,CHEN,43,12.42,10.2,Mar,Night
33.0,4.9,Sandstorms,Medium,2,Snack,electric_scooter,0.0,0,ALH,26,11.01,15.0,Feb,Night
23.0,4.7,Windy,Jam,2,Meal,electric_scooter,0.0,0,VAD,12,9.09,10.2,Mar,Night
29.0,4.6,Fog,Medium,2,Drinks,scooter,0.0,0,VAD,15,7.57,9.6,Mar,Night
27.0,4.6,Sandstorms,Jam,1,Drinks,scooter,1.0,0,RANCHI,23,9.44,15.0,Mar,Night
21.0,5.0,Fog,Jam,0,Buffet,motorcycle,1.0,0,AURG,20,9.44,15.0,Feb,Night
28.0,4.6,Sandstorms,Medium,2,Buffet,scooter,1.0,0,JAP,23,5.96,4.8,Mar,Evening
22.0,4.5,Sandstorms,Jam,2,Meal,motorcycle,0.0,0,MYS,21,7.77,10.2,Mar,Night
27.0,5.0,Stormy,Jam,2,Snack,scooter,0.0,0,VAD,23,16.66,15.0,Mar,Night
26.0,4.8,Windy,Medium,1,Drinks,motorcycle,1.0,0,BANG,24,17.08,5.4,Mar,Evening
36.0,4.9,Fog,Jam,0,Snack,motorcycle,3.0,0,SUR,46,19.76,9.6,Mar,Night
31.0,4.8,Sunny,Low,0,Buffet,motorcycle,1.0,0,VAD,26,4.54,5.4,Apr,Night
22.0,4.7,Sandstorms,Low,1,Buffet,scooter,1.0,0,KNP,10,16.41,4.8,Feb,Night
35.0,4.8,Sandstorms,Low,2,Snack,scooter,0.0,0,JAP,21,4.47,4.8,Mar,Night
32.0,4.2,Cloudy,Medium,2,Buffet,motorcycle,1.0,0,DEH,44,16.15,15.0,Feb,Night
26.0,5.0,Stormy,Medium,2,Buffet,scooter,0.0,0,VAD,26,4.72,15.0,Mar,Night
26.0,4.6,Cloudy,Low,1,Buffet,scooter,0.0,0,MYS,23,12.44,10.2,Apr,Night
26.0,4.6,Stormy,Medium,1,Meal,scooter,1.0,0,INDO,24,9.07,4.8,Mar,Night
33.0,4.9,Sandstorms,Medium,2,Meal,scooter,1.0,0,MYS,29,6.22,15.0,Mar,Evening
32.0,4.2,Sunny,Jam,1,Buffet,motorcycle,1.0,0,COIMB,33,10.91,10.2,Mar,Night
31.0,4.1,Stormy,Low,0,Snack,motorcycle,1.0,0,SUR,27,3.04,4.8,Mar,Morning
35.0,4.8,Cloudy,Low,1,Buffet,motorcycle,1.0,0,COIMB,30,17.14,4.8,Apr,Night
34.0,4.8,Cloudy,Low,2,Drinks,scooter,1.0,0,JAP,18,4.47,10.2,Mar,Night
31.0,4.5,Fog,Low,0,Snack,motorcycle,1.0,0,MUM,27,3.06,4.8,Apr,Morning
30.0,4.6,Fog,High,0,Buffet,motorcycle,1.0,0,SUR,33,1.52,15.0,Apr,Morning
34.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,0,MUM,22,7.65,4.8,Mar,Night
33.0,4.7,Windy,Low,1,Buffet,scooter,1.0,0,CHEN,16,13.97,9.6,Mar,Night
37.0,4.5,Stormy,Jam,1,Meal,scooter,0.0,0,RANCHI,30,13.58,4.8,Apr,Night
36.0,4.6,Stormy,Low,2,Snack,scooter,0.0,0,HYD,27,12.29,15.0,Mar,Night
20.0,5.0,Fog,Low,2,Meal,scooter,1.0,0,VAD,18,1.57,9.6,Mar,Morning
24.0,4.1,Stormy,Jam,0,Drinks,motorcycle,1.0,0,JAP,37,13.41,10.2,Mar,Night
37.0,4.6,Fog,Low,0,Buffet,motorcycle,1.0,0,BANG,27,1.55,15.0,Mar,Morning
22.0,4.8,Sunny,Jam,2,Drinks,scooter,1.0,0,AURG,17,7.86,15.0,Feb,Night
31.0,4.6,Sandstorms,Jam,0,Meal,motorcycle,0.0,0,JAP,47,8.94,10.2,Mar,Night
32.0,4.7,Fog,Jam,2,Buffet,electric_scooter,1.0,0,MUM,26,7.65,15.0,Mar,Night
25.0,5.0,Windy,Low,1,Buffet,scooter,1.0,0,KOL,16,3.03,5.4,Feb,Morning
20.0,4.9,Sandstorms,Low,0,Drinks,motorcycle,1.0,0,DEH,17,20.56,15.0,Feb,Night
26.0,4.5,Sandstorms,Medium,0,Drinks,motorcycle,1.0,0,JAP,21,7.45,15.0,Apr,Night
36.0,4.7,Fog,Jam,2,Buffet,motorcycle,2.0,0,MUM,42,10.7,15.0,Mar,Night
31.0,4.6,Stormy,High,0,Meal,motorcycle,0.0,0,JAP,35,2.98,10.2,Mar,Morning
25.0,4.7,Fog,High,1,Buffet,motorcycle,0.0,0,COIMB,25,6.23,15.0,Mar,Evening
37.0,4.5,Stormy,Medium,2,Drinks,electric_scooter,1.0,0,SUR,28,6.08,4.8,Mar,Evening
25.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,0,JAP,48,11.92,5.4,Mar,Night
32.0,4.8,Sandstorms,Low,2,Drinks,scooter,1.0,0,DEH,15,11.75,10.2,Feb,Night
32.0,4.3,Fog,Jam,1,Snack,motorcycle,0.0,0,COIMB,39,20.25,4.8,Mar,Night
38.0,5.0,Cloudy,High,1,Snack,motorcycle,1.0,0,VAD,32,6.29,4.8,Mar,Evening
26.0,4.5,Fog,Medium,0,Meal,motorcycle,1.0,0,HYD,37,19.98,10.2,Mar,Night
34.0,4.3,Cloudy,Low,1,Buffet,scooter,0.0,0,SUR,37,19.76,5.4,Mar,Night
35.0,4.7,Sunny,Low,2,Drinks,electric_scooter,0.0,0,RANCHI,15,3.15,4.8,Mar,Morning
23.0,4.0,Cloudy,Jam,1,Drinks,scooter,0.0,0,COIMB,38,17.14,4.8,Mar,Night
23.0,4.9,Sandstorms,Medium,1,Buffet,scooter,1.0,0,BANG,29,17.08,10.2,Mar,Evening
21.0,4.9,Windy,Jam,1,Drinks,scooter,1.0,0,KOL,28,16.65,15.0,Feb,Night
34.0,4.6,Cloudy,Jam,0,Buffet,motorcycle,1.0,1,MYS,50,20.21,4.8,Mar,Night
28.0,4.7,Windy,Low,2,Drinks,motorcycle,0.0,0,MYS,12,9.33,5.4,Apr,Night
28.0,4.7,Cloudy,Low,2,Snack,scooter,0.0,0,COIMB,15,3.12,10.2,Mar,Morning
39.0,4.9,Stormy,Medium,1,Drinks,motorcycle,1.0,0,CHEN,24,12.42,15.0,Mar,Night
31.0,4.6,Cloudy,Jam,1,Drinks,scooter,0.0,0,HYD,27,4.61,10.2,Mar,Night
35.0,4.8,Cloudy,Medium,0,Meal,motorcycle,0.0,0,INDO,42,12.1,15.0,Mar,Night
33.0,4.4,Stormy,Low,0,Drinks,motorcycle,0.0,0,BANG,21,3.11,9.6,Mar,Morning
35.0,4.8,Sandstorms,Medium,0,Drinks,motorcycle,0.0,1,AGR,47,11.9,15.0,Feb,Night
24.0,5.0,Fog,Low,1,Snack,motorcycle,1.0,0,BANG,18,4.66,15.0,Apr,Night
21.0,4.7,Stormy,Jam,0,Meal,motorcycle,1.0,0,MUM,31,9.18,15.0,Mar,Night
34.0,4.4,Sandstorms,Jam,2,Meal,scooter,2.0,0,MUM,39,13.77,10.2,Apr,Night
20.0,4.9,Fog,Low,0,Drinks,motorcycle,0.0,0,VAD,21,20.44,10.2,Mar,Night
33.0,3.6,Fog,Low,1,Snack,scooter,1.0,0,PUNE,36,19.91,15.0,Mar,Night
25.0,4.9,Sandstorms,Medium,1,Buffet,scooter,1.0,0,AURG,29,7.63,4.8,Feb,Evening
27.0,4.7,Sandstorms,Medium,1,Snack,motorcycle,0.0,0,MUM,23,7.65,9.6,Mar,Night
34.0,4.7,Sandstorms,Low,2,Buffet,electric_scooter,0.0,0,RANCHI,22,16.6,15.0,Mar,Night
27.0,4.6,Sandstorms,Jam,0,Drinks,motorcycle,1.0,0,SUR,30,12.16,10.2,Mar,Night
28.0,4.6,Sandstorms,High,2,Drinks,electric_scooter,1.0,0,BANG,13,3.11,10.2,Apr,Morning
37.0,4.9,Windy,Low,2,Meal,electric_scooter,1.0,0,RANCHI,23,14.15,10.2,Mar,Night
30.0,4.9,Stormy,Low,2,Snack,motorcycle,1.0,0,MUM,24,9.18,4.8,Mar,Night
23.0,3.8,Sunny,Jam,0,Buffet,motorcycle,0.0,0,RANCHI,53,4.53,15.0,Mar,Night
35.0,4.2,Windy,Medium,2,Drinks,electric_scooter,0.0,0,BANG,38,17.08,15.0,Mar,Evening
30.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,0,HYD,18,4.61,15.0,Mar,Night
36.0,4.7,Sandstorms,Jam,1,Drinks,motorcycle,1.0,0,KNP,30,11.94,15.0,Feb,Night
24.0,4.8,Windy,Medium,2,Meal,motorcycle,1.0,0,RANCHI,27,6.04,9.6,Mar,Evening
36.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,1.0,0,VAD,21,20.44,15.0,Mar,Night
27.0,3.4,Sunny,Low,1,Drinks,scooter,1.0,1,COIMB,43,20.25,4.8,Mar,Night
31.0,4.7,Stormy,Low,1,Snack,scooter,1.0,0,COIMB,26,1.56,10.2,Mar,Morning
33.0,3.8,Windy,Medium,2,Drinks,scooter,1.0,0,LUDH,34,20.51,4.8,Feb,Evening
21.0,4.6,Stormy,Low,1,Snack,motorcycle,1.0,0,MYS,14,4.66,4.8,Mar,Night
30.0,4.8,Sunny,Jam,0,Buffet,motorcycle,1.0,0,MYS,28,12.44,4.8,Mar,Night
34.0,4.8,Sunny,Low,2,Meal,scooter,0.0,0,PUNE,16,1.53,9.6,Apr,Morning
20.0,4.2,Windy,Jam,0,Buffet,motorcycle,1.0,0,KOL,38,19.68,10.2,Feb,Night
39.0,4.8,Sunny,Low,1,Meal,scooter,0.0,0,MUM,18,7.65,9.6,Apr,Night
35.0,4.3,Windy,Low,0,Meal,motorcycle,1.0,0,RANCHI,23,1.51,15.0,Mar,Morning
27.0,5.0,Windy,Jam,2,Meal,motorcycle,1.0,0,SUR,24,16.72,4.8,Apr,Night
33.0,4.7,Windy,Low,2,Drinks,electric_scooter,1.0,0,SUR,25,3.04,15.0,Mar,Morning
34.0,4.1,Windy,Jam,1,Snack,scooter,1.0,0,MUM,39,19.88,15.0,Mar,Night
23.0,4.4,Windy,Jam,0,Buffet,motorcycle,0.0,0,HYD,38,7.68,15.0,Mar,Night
38.0,4.7,Sandstorms,Medium,1,Drinks,scooter,0.0,0,GOA,31,9.26,4.8,Feb,Evening
22.0,4.5,Fog,Low,2,Snack,scooter,0.0,0,HYD,18,1.54,10.2,Mar,Morning
24.0,4.6,Cloudy,Low,2,Snack,motorcycle,0.0,0,INDO,26,10.59,5.4,Mar,Night
27.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,0,JAP,28,4.47,4.8,Mar,Night
34.0,5.0,Stormy,High,2,Buffet,scooter,1.0,0,RANCHI,31,3.02,9.6,Apr,Morning
27.0,4.5,Sandstorms,Low,0,Drinks,motorcycle,1.0,0,HYD,18,16.9,5.4,Mar,Night
34.0,4.7,Windy,Medium,0,Snack,motorcycle,1.0,0,MUM,31,13.77,4.8,Mar,Evening
29.0,4.4,Fog,Jam,2,Drinks,electric_scooter,2.0,0,COIMB,38,10.91,15.0,Mar,Night
30.0,4.6,Fog,Low,0,Buffet,motorcycle,1.0,0,VAD,29,3.03,15.0,Mar,Morning
24.0,4.7,Cloudy,Jam,0,Drinks,motorcycle,1.0,0,VAD,36,17.3,10.2,Mar,Night
25.0,4.6,Stormy,Low,1,Buffet,scooter,0.0,0,INDO,11,13.61,15.0,Apr,Night
29.0,4.1,Fog,Jam,2,Drinks,scooter,1.0,0,COIMB,35,12.46,5.4,Mar,Night
31.0,4.8,Stormy,Low,2,Meal,motorcycle,0.0,0,INDO,24,1.51,9.6,Mar,Morning
33.0,4.1,Fog,High,2,Meal,scooter,1.0,0,INDO,38,6.05,5.4,Apr,Evening
30.0,4.3,Fog,Jam,1,Snack,motorcycle,0.0,0,VAD,46,19.69,15.0,Mar,Night
30.0,4.7,Sandstorms,Low,1,Snack,motorcycle,0.0,0,RANCHI,21,1.51,10.2,Mar,Morning
29.0,4.7,Fog,Medium,0,Drinks,motorcycle,1.0,0,VAD,35,10.6,15.0,Mar,Evening
23.0,4.8,Windy,Medium,0,Meal,motorcycle,1.0,0,KNP,29,5.97,10.2,Feb,Evening
31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,1.0,0,RANCHI,15,3.02,4.8,Mar,Morning
36.0,4.5,Sunny,Low,0,Drinks,motorcycle,0.0,0,KOL,25,7.57,9.6,Feb,Night
29.0,4.8,Fog,Jam,0,Buffet,motorcycle,1.0,0,JAP,37,16.39,15.0,Mar,Night
31.0,4.9,Sunny,Low,2,Meal,scooter,1.0,0,VAD,16,1.51,5.4,Apr,Morning
32.0,3.8,Stormy,Jam,1,Snack,scooter,1.0,0,MYS,40,17.1,4.8,Mar,Night
20.0,4.5,Sandstorms,Low,0,Meal,motorcycle,0.0,0,MYS,21,3.11,9.6,Mar,Morning
27.0,5.0,Cloudy,Jam,1,Drinks,motorcycle,2.0,0,BANG,43,12.42,10.2,Mar,Night
30.0,4.8,Cloudy,Medium,1,Snack,motorcycle,0.0,0,BANG,15,7.76,4.8,Mar,Evening
21.0,4.7,Sandstorms,Low,2,Drinks,motorcycle,0.0,0,SUR,11,3.04,9.6,Mar,Morning
26.0,4.6,Cloudy,Low,0,Drinks,motorcycle,0.0,0,MYS,20,4.66,5.4,Mar,Night
39.0,4.9,Cloudy,Jam,2,Drinks,motorcycle,1.0,0,RANCHI,36,13.58,4.8,Mar,Night
26.0,4.7,Cloudy,Medium,0,Snack,motorcycle,0.0,0,DEH,38,16.15,4.8,Feb,Evening
36.0,5.0,Cloudy,Jam,0,Snack,motorcycle,1.0,0,RANCHI,46,16.6,15.0,Mar,Night
20.0,4.8,Sunny,Low,0,Meal,motorcycle,1.0,0,JAP,19,2.98,10.2,Mar,Morning
36.0,4.8,Fog,Medium,1,Snack,scooter,1.0,0,CHEN,43,10.87,9.6,Mar,Night
20.0,5.0,Sunny,Medium,0,Buffet,motorcycle,0.0,0,LUDH,17,7.33,9.6,Feb,Evening
35.0,4.6,Windy,Medium,1,Buffet,motorcycle,2.0,0,JAP,34,7.45,15.0,Apr,Night
31.0,5.0,Sandstorms,Medium,0,Meal,motorcycle,2.0,0,HYD,46,12.29,9.6,Mar,Evening
34.0,3.5,Cloudy,Low,2,Buffet,electric_scooter,0.0,0,COIMB,34,14.02,9.6,Mar,Night
22.0,4.8,Sunny,Medium,2,Meal,motorcycle,0.0,0,MYS,16,10.88,10.2,Mar,Evening
24.0,4.9,Cloudy,Medium,1,Drinks,scooter,0.0,0,RANCHI,35,16.6,15.0,Mar,Night
26.0,4.8,Sunny,Low,1,Snack,scooter,1.0,0,MYS,23,1.55,10.2,Mar,Morning
29.0,4.9,Sandstorms,Jam,1,Meal,motorcycle,1.0,0,RANCHI,25,17.3,10.2,Mar,Night
27.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,0,MYS,24,9.33,10.2,Mar,Night
33.0,4.1,Sandstorms,Low,0,Meal,motorcycle,1.0,0,JAP,29,1.49,9.6,Mar,Morning
39.0,5.0,Windy,Low,2,Buffet,scooter,0.0,0,VAD,28,7.57,15.0,Mar,Night
38.0,4.6,Sandstorms,Medium,1,Buffet,scooter,0.0,0,AGR,28,11.01,4.8,Feb,Night
31.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,0,KOC,25,1.56,4.8,Feb,Morning
26.0,4.7,Fog,Low,2,Drinks,motorcycle,0.0,0,JAP,12,1.49,15.0,Mar,Morning
25.0,4.7,Windy,Medium,0,Buffet,motorcycle,0.0,0,MYS,27,7.77,10.2,Mar,Night
28.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,0,RANCHI,22,4.72,15.0,Mar,Night
27.0,4.5,Stormy,Medium,0,Drinks,motorcycle,0.0,0,HYD,16,9.22,10.2,Mar,Night
30.0,5.0,Stormy,Low,1,Meal,scooter,1.0,0,PUNE,24,3.06,4.8,Mar,Morning
28.0,4.7,Sunny,Low,0,Snack,motorcycle,1.0,0,MUM,23,19.88,9.6,Mar,Night
31.0,5.0,Windy,Jam,2,Drinks,motorcycle,1.0,0,MYS,29,17.1,10.2,Apr,Night
25.0,4.7,Sandstorms,Low,1,Meal,motorcycle,1.0,0,AGR,11,2.98,4.8,Feb,Morning
33.0,4.6,Sunny,Medium,2,Buffet,motorcycle,0.0,0,SUR,29,12.16,10.2,Mar,Night
39.0,4.2,Cloudy,Jam,1,Meal,scooter,0.0,0,JAP,37,7.45,10.2,Mar,Night
30.0,4.6,Fog,Jam,0,Meal,motorcycle,1.0,0,SUR,40,19.76,9.6,Mar,Night
29.0,4.8,Stormy,Jam,2,Buffet,scooter,0.0,0,PUNE,25,12.26,4.8,Mar,Night
21.0,4.7,Sandstorms,Medium,0,Snack,motorcycle,0.0,0,JAP,13,5.96,10.2,Mar,Evening
31.0,4.7,Sunny,Jam,2,Buffet,scooter,1.0,0,MYS,20,10.88,15.0,Apr,Night
38.0,4.2,Cloudy,Jam,2,Snack,electric_scooter,2.0,1,RANCHI,47,19.62,15.0,Apr,Night
38.0,4.3,Stormy,Low,0,Snack,motorcycle,2.0,0,SUR,33,4.56,9.6,Mar,Night
25.0,4.9,Fog,Medium,2,Buffet,scooter,1.0,0,PUNE,25,13.79,4.8,Mar,Evening
39.0,4.7,Fog,Low,1,Buffet,scooter,1.0,0,SUR,16,1.52,4.8,Mar,Morning
37.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,1.0,0,RANCHI,33,10.57,10.2,Mar,Night
32.0,4.5,Stormy,Jam,2,Snack,scooter,0.0,0,RANCHI,39,10.57,10.2,Mar,Night
22.0,4.5,Stormy,Medium,1,Buffet,scooter,1.0,0,JAP,28,5.96,9.6,Apr,Evening
29.0,4.5,Sandstorms,Low,2,Snack,scooter,1.0,0,RANCHI,14,13.58,10.2,Mar,Night
20.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,0,MUM,17,1.53,4.8,Mar,Morning
39.0,4.6,Stormy,Low,1,Meal,scooter,1.0,0,INDO,26,9.08,5.4,Mar,Night
35.0,4.4,Sandstorms,Jam,0,Snack,motorcycle,2.0,0,BANG,41,13.97,5.4,Mar,Night
37.0,5.0,Sunny,Low,0,Snack,motorcycle,0.0,0,RANCHI,28,9.44,10.2,Apr,Night
39.0,4.6,Cloudy,Medium,2,Snack,scooter,1.0,0,KNP,30,13.43,4.8,Feb,Evening
33.0,4.8,Windy,High,2,Buffet,motorcycle,1.0,0,COIMB,27,1.56,15.0,Apr,Morning
35.0,4.8,Cloudy,Jam,1,Meal,scooter,1.0,0,RANCHI,35,7.55,15.0,Mar,Night
22.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,0,BANG,25,12.42,10.2,Mar,Night
31.0,4.6,Sunny,Jam,0,Buffet,motorcycle,1.0,0,VAD,28,13.63,4.8,Apr,Night
26.0,4.8,Sunny,Medium,1,Snack,scooter,0.0,0,INDO,14,7.56,15.0,Mar,Night
