,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Delivery_distance,Time_to_pick,Day,Month,Time_of_Day_Ordered
5991,24.0,4.5,Stormy,Medium,2,Drinks,motorcycle,1.0,No,SUR,16,16.72,15.0,3,2,Evening
5992,37.0,4.7,Windy,Low,1,Drinks,motorcycle,1.0,No,CHEN,20,17.08,4.8,27,3,Night
5993,37.0,4.9,Sandstorms,Low,1,Buffet,scooter,0.0,No,COIMB,25,20.25,15.0,25,3,Night
5994,29.0,4.6,Windy,Medium,0,Buffet,motorcycle,1.0,No,PUNE,17,4.6,15.0,3,11,Evening
5996,20.0,4.4,Fog,Jam,2,Drinks,motorcycle,0.0,No,INDO,43,10.59,9.6,29,3,Night
5997,23.0,4.7,Fog,Medium,1,Drinks,scooter,1.0,No,JAP,14,4.47,4.8,3,11,Evening
5999,24.0,4.9,Cloudy,Low,0,Snack,motorcycle,0.0,No,MYS,23,1.55,10.2,4,3,Morning
6000,39.0,3.9,Windy,Jam,2,Meal,scooter,0.0,No,KOL,31,12.11,4.8,16,2,Night
6001,24.0,5.0,Stormy,Jam,1,Meal,motorcycle,0.0,No,COIMB,13,9.35,4.8,26,3,Night
6002,27.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,COIMB,15,20.25,10.2,3,4,Night
6004,23.0,4.7,Cloudy,High,2,Drinks,scooter,1.0,No,HYD,30,1.54,4.8,21,3,Morning
6005,23.0,4.6,Cloudy,Low,1,Drinks,motorcycle,0.0,No,MYS,12,3.11,15.0,17,3,Morning
6006,21.0,4.7,Cloudy,Medium,2,Snack,scooter,1.0,No,BANG,31,17.08,4.8,3,10,Night
6008,32.0,4.1,Cloudy,Medium,1,Meal,scooter,0.0,No,PUNE,39,19.92,4.8,4,6,Evening
6010,23.0,4.1,Cloudy,Jam,1,Snack,motorcycle,1.0,No,VAD,32,12.12,15.0,3,8,Night
6012,29.0,4.7,Cloudy,High,1,Drinks,motorcycle,0.0,No,CHEN,28,1.55,15.0,24,3,Morning
6013,34.0,4.5,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,PUNE,29,9.19,9.6,13,3,Night
6015,26.0,4.2,Cloudy,Jam,1,Snack,scooter,1.0,No,BANG,31,13.97,4.8,14,3,Night
6016,25.0,4.2,Fog,Jam,1,Meal,scooter,1.0,No,MUM,43,16.82,4.8,3,8,Night
6017,36.0,4.2,Fog,Medium,1,Buffet,scooter,0.0,No,BHP,38,12.08,5.4,18,2,Evening
6018,26.0,4.6,Sunny,Jam,0,Drinks,motorcycle,1.0,No,RANCHI,22,12.07,15.0,3,10,Night
6021,37.0,4.6,Fog,Jam,2,Meal,motorcycle,0.0,No,PUNE,34,7.66,9.6,3,9,Night
6022,21.0,4.7,Cloudy,High,1,Meal,scooter,1.0,No,PUNE,22,3.06,4.8,3,9,Morning
6023,34.0,4.6,Stormy,Jam,2,Snack,scooter,0.0,No,MUM,26,4.59,9.6,17,3,Night
6024,27.0,4.8,Fog,Jam,2,Buffet,scooter,0.0,No,MYS,24,4.66,4.8,21,3,Night
6027,37.0,4.8,Sunny,Low,1,Snack,motorcycle,1.0,No,COIMB,20,12.46,15.0,25,3,Night
6028,20.0,4.5,Fog,Medium,2,Snack,motorcycle,0.0,No,CHEN,29,17.07,10.2,31,3,Night
6029,38.0,4.5,Cloudy,Low,1,Snack,scooter,1.0,No,GOA,25,12.35,10.2,2,12,Night
6030,30.0,4.9,Cloudy,Jam,2,Drinks,electric_scooter,1.0,No,HYD,38,4.61,10.2,4,5,Night
6031,30.0,4.6,Sunny,Medium,2,Drinks,scooter,1.0,No,MYS,20,6.22,10.2,4,1,Evening
6032,34.0,4.6,Windy,Jam,0,Drinks,motorcycle,2.0,No,HYD,39,13.83,15.0,16,3,Night
6033,38.0,4.6,Cloudy,Medium,2,Drinks,scooter,1.0,No,VAD,15,9.09,15.0,13,3,Night
6034,38.0,4.1,Stormy,Low,0,Buffet,motorcycle,1.0,No,GOA,33,1.54,9.6,17,2,Morning
6035,22.0,4.8,Sunny,Jam,1,Drinks,motorcycle,1.0,No,MYS,19,9.33,15.0,26,3,Night
6039,36.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,JAP,22,1.49,15.0,24,3,Morning
6040,32.0,4.6,Fog,Jam,1,Snack,motorcycle,1.0,No,KOL,36,9.08,4.8,2,11,Night
6042,25.0,3.7,Sunny,High,0,Drinks,motorcycle,1.0,No,HYD,44,6.15,9.6,15,3,Evening
6043,30.0,4.4,Fog,High,1,Buffet,motorcycle,0.0,No,PUNE,36,3.06,4.8,3,11,Morning
6044,35.0,4.4,Fog,Medium,1,Drinks,scooter,1.0,No,RANCHI,36,13.58,5.4,23,3,Night
6046,24.0,4.1,Windy,Jam,0,Snack,motorcycle,1.0,No,BANG,36,17.08,5.4,3,4,Night
6047,33.0,4.7,Windy,High,0,Meal,motorcycle,0.0,No,BHP,33,6.04,4.8,15,2,Evening
6050,32.0,4.4,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,COIMB,50,10.91,15.0,29,3,Night
6051,30.0,4.3,Cloudy,Medium,1,Buffet,motorcycle,1.0,No,BANG,36,13.97,5.4,3,6,Evening
6052,35.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,HYD,37,6.15,10.2,21,3,Evening
6055,30.0,4.4,Stormy,Jam,1,Meal,scooter,2.0,No,PUNE,40,16.85,4.8,27,3,Night
6056,24.0,4.8,Windy,Jam,1,Buffet,scooter,1.0,No,JAP,26,19.37,15.0,18,3,Night
6057,23.0,4.7,Windy,Medium,1,Drinks,motorcycle,1.0,No,PUNE,27,4.6,4.8,28,3,Evening
6058,31.0,4.6,Stormy,Medium,2,Buffet,motorcycle,0.0,No,DEH,24,19.09,15.0,16,2,Evening
6060,32.0,4.7,Sandstorms,Jam,2,Buffet,scooter,1.0,No,JAP,27,8.94,9.6,21,3,Night
6061,31.0,4.5,Sunny,Jam,2,Snack,scooter,1.0,No,HYD,16,4.61,15.0,4,5,Night
6062,32.0,4.8,Stormy,Medium,0,Snack,motorcycle,0.0,No,VAD,28,6.29,15.0,26,3,Evening
6063,34.0,4.0,Sandstorms,High,1,Snack,scooter,2.0,No,SUR,32,6.08,4.8,3,9,Evening
6065,29.0,4.9,Sandstorms,High,0,Snack,motorcycle,0.0,No,CHEN,21,1.55,15.0,3,7,Morning
6066,37.0,4.8,Cloudy,Low,1,Drinks,motorcycle,1.0,No,VAD,17,1.51,9.6,26,3,Morning
6069,37.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,MYS,25,3.11,10.2,3,7,Morning
6070,33.0,4.7,Sunny,Medium,1,Drinks,motorcycle,1.0,No,HYD,18,19.98,10.2,3,2,Evening
6071,38.0,4.0,Sandstorms,High,1,Drinks,scooter,1.0,No,LUDH,31,5.86,4.8,13,2,Evening
6073,24.0,4.8,Fog,Low,0,Meal,motorcycle,1.0,No,SUR,24,16.72,15.0,3,8,Night
6074,27.0,4.7,Windy,Jam,1,Snack,motorcycle,1.0,No,JAP,27,19.37,15.0,27,3,Night
6075,28.0,4.8,Sandstorms,High,1,Snack,motorcycle,1.0,No,JAP,18,5.96,15.0,4,5,Evening
6076,24.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,HYD,24,4.61,4.8,4,5,Night
6077,20.0,4.6,Sunny,Jam,2,Drinks,electric_scooter,1.0,No,HYD,20,12.29,5.4,4,2,Night
6079,30.0,4.8,Sunny,Low,2,Snack,scooter,0.0,No,COIMB,10,1.56,4.8,4,1,Morning
6080,39.0,4.1,Fog,Low,2,Buffet,scooter,1.0,No,CHEN,34,13.97,5.4,3,12,Night
6081,33.0,3.8,Sandstorms,Jam,2,Drinks,electric_scooter,0.0,No,PUNE,33,10.73,15.0,20,3,Night
6082,21.0,4.7,Fog,Low,1,Meal,scooter,0.0,No,KNP,11,2.98,5.4,17,2,Morning
6085,33.0,4.8,Cloudy,Medium,2,Drinks,scooter,0.0,No,PUNE,34,19.91,5.4,20,3,Evening
6086,22.0,4.5,Fog,Medium,2,Meal,scooter,1.0,No,HYD,15,6.15,10.2,26,3,Evening
6089,22.0,4.1,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,COIMB,33,10.91,15.0,29,3,Night
6091,38.0,4.1,Cloudy,Jam,1,Snack,motorcycle,0.0,No,JAP,48,16.38,4.8,4,2,Night
6092,37.0,4.1,Sunny,Medium,0,Drinks,motorcycle,1.0,No,KOL,36,13.62,4.8,2,12,Night
6093,36.0,4.9,Sunny,Jam,0,Snack,motorcycle,1.0,No,PUNE,36,13.79,10.2,25,3,Night
6094,30.0,5.0,Fog,Low,1,Buffet,scooter,0.0,No,INDO,17,1.51,10.2,24,3,Morning
6095,26.0,4.8,Cloudy,Medium,0,Snack,motorcycle,0.0,Yes,JAP,41,10.43,9.6,3,8,Night
6096,29.0,4.7,Sunny,Jam,2,Meal,scooter,0.0,No,JAP,16,4.47,5.4,4,3,Night
6097,36.0,4.8,Fog,Low,1,Buffet,motorcycle,1.0,No,MUM,17,1.53,4.8,4,5,Morning
6098,36.0,4.8,Stormy,High,1,Snack,motorcycle,1.0,No,INDO,32,1.51,9.6,4,5,Morning
6099,26.0,4.8,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,COIMB,31,14.02,5.4,20,3,Night
6100,25.0,4.7,Sandstorms,Medium,2,Buffet,scooter,1.0,No,ALH,15,19.47,9.6,14,2,Evening
6101,30.0,4.5,Fog,Jam,2,Drinks,scooter,1.0,No,JAP,27,8.94,15.0,17,3,Night
6102,24.0,4.7,Cloudy,Low,1,Meal,motorcycle,1.0,No,INDO,16,9.08,10.2,28,3,Night
6103,36.0,4.6,Stormy,Low,2,Buffet,motorcycle,0.0,No,DEH,18,19.09,10.2,18,2,Night
6107,30.0,4.2,Cloudy,Jam,2,Meal,scooter,1.0,No,MYS,36,17.1,15.0,20,3,Night
6108,28.0,4.9,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,RANCHI,21,4.53,9.6,3,11,Evening
6110,26.0,4.4,Stormy,Low,0,Buffet,motorcycle,0.0,No,COIMB,29,3.12,4.8,15,3,Morning
6112,36.0,4.8,Fog,Low,0,Meal,motorcycle,1.0,No,JAP,20,2.98,9.6,3,1,Morning
6113,39.0,4.3,Sandstorms,Medium,2,Snack,scooter,0.0,No,MYS,31,9.33,15.0,3,11,Night
6114,35.0,4.3,Stormy,Jam,0,Meal,motorcycle,0.0,Yes,RANCHI,46,4.53,10.2,15,3,Night
6116,27.0,5.0,Sunny,Jam,1,Meal,scooter,1.0,No,HYD,19,9.22,15.0,21,3,Night
6117,23.0,4.7,Cloudy,Medium,2,Meal,scooter,1.0,No,DEH,28,12.58,15.0,14,2,Night
6118,31.0,4.8,Fog,High,1,Snack,motorcycle,1.0,No,AURG,38,6.11,15.0,15,2,Evening
6119,24.0,4.7,Windy,Jam,0,Snack,motorcycle,1.0,No,VAD,18,9.44,15.0,21,3,Night
6120,22.0,4.9,Cloudy,Low,1,Snack,motorcycle,1.0,No,SUR,15,9.12,10.2,15,3,Night
6123,32.0,4.7,Stormy,Jam,2,Buffet,electric_scooter,1.0,No,HYD,27,7.68,4.8,19,3,Night
6124,32.0,4.7,Sunny,Low,0,Drinks,motorcycle,0.0,No,COIMB,24,3.12,4.8,28,3,Morning
6127,29.0,4.8,Sandstorms,Medium,1,Buffet,motorcycle,1.0,No,BANG,26,12.42,15.0,31,3,Night
6129,39.0,4.8,Windy,Medium,1,Meal,scooter,0.0,No,COIMB,30,14.02,5.4,20,3,Evening
6130,36.0,4.9,Fog,Low,1,Buffet,motorcycle,1.0,No,ALH,15,1.5,9.6,15,2,Morning
6132,20.0,4.7,Sunny,High,1,Buffet,motorcycle,1.0,No,RANCHI,13,6.04,9.6,4,1,Evening
6133,29.0,4.7,Sandstorms,Jam,2,Drinks,motorcycle,0.0,No,HYD,13,7.68,10.2,3,7,Night
6134,34.0,4.9,Sunny,Low,0,Snack,motorcycle,1.0,No,VAD,21,1.51,5.4,30,3,Morning
6135,36.0,4.3,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,SUR,31,7.6,4.8,3,9,Night
6136,30.0,4.7,Sunny,Medium,0,Snack,motorcycle,0.0,No,JAP,34,13.4,15.0,3,2,Evening
6137,20.0,4.5,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,SUR,16,13.68,15.0,20,3,Night
6138,23.0,4.6,Cloudy,Low,1,Drinks,scooter,1.0,No,SUR,20,12.16,10.2,3,2,Night
6139,28.0,4.6,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,INDO,20,19.66,5.4,27,3,Night
6140,33.0,4.7,Windy,Jam,1,Meal,scooter,1.0,No,JAP,33,4.47,5.4,4,5,Night
6141,32.0,4.7,Stormy,Medium,0,Drinks,motorcycle,1.0,No,ALH,31,16.48,15.0,14,2,Evening
6142,30.0,4.4,Fog,Low,0,Snack,motorcycle,0.0,No,COIMB,39,17.14,10.2,4,2,Night
6143,31.0,4.9,Windy,Jam,0,Drinks,motorcycle,0.0,No,VAD,31,9.09,9.6,3,3,Night
6144,22.0,4.8,Fog,Medium,2,Buffet,motorcycle,1.0,No,COIMB,30,20.25,4.8,31,3,Evening
6145,29.0,4.9,Sandstorms,Medium,1,Snack,scooter,1.0,No,SUR,21,13.68,5.4,25,3,Evening
6146,36.0,4.0,Windy,Jam,0,Meal,motorcycle,1.0,No,SUR,43,10.64,15.0,16,3,Night
6147,29.0,4.9,Cloudy,Jam,2,Drinks,scooter,1.0,No,HYD,24,9.22,15.0,19,3,Night
6148,36.0,4.4,Cloudy,Low,2,Buffet,electric_scooter,2.0,No,MUM,39,12.24,9.6,18,3,Night
6149,34.0,4.2,Stormy,Medium,2,Snack,electric_scooter,1.0,No,COIMB,32,6.23,10.2,3,7,Evening
6150,24.0,4.9,Windy,Medium,0,Snack,motorcycle,1.0,No,HYD,28,12.29,4.8,14,3,Night
6151,30.0,4.8,Sunny,Medium,2,Buffet,motorcycle,0.0,No,SUR,19,4.56,15.0,3,9,Night
6152,20.0,4.7,Stormy,Low,1,Buffet,scooter,0.0,No,ALH,18,7.49,10.2,13,2,Night
6153,35.0,4.3,Fog,Jam,1,Buffet,motorcycle,1.0,No,MUM,34,4.59,4.8,28,3,Night
6154,28.0,4.7,Fog,Low,1,Snack,scooter,1.0,No,INDO,12,3.03,10.2,4,1,Morning
6155,21.0,4.8,Fog,Medium,0,Meal,motorcycle,1.0,No,INDO,21,9.07,15.0,26,3,Evening
6158,38.0,4.7,Cloudy,Medium,1,Meal,scooter,0.0,No,RANCHI,15,6.29,9.6,19,3,Evening
6161,28.0,4.7,Windy,Low,1,Snack,motorcycle,1.0,No,AGR,19,4.46,10.2,17,2,Night
6162,38.0,4.4,Fog,Jam,2,Snack,motorcycle,1.0,No,COIMB,35,17.14,9.6,3,10,Night
6163,31.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,Yes,MYS,42,12.44,4.8,25,3,Night
6164,32.0,4.5,Sunny,Jam,2,Drinks,electric_scooter,1.0,No,SUR,18,9.12,4.8,24,3,Night
6167,38.0,4.3,Fog,Low,0,Snack,motorcycle,1.0,Yes,CHEN,40,10.87,15.0,3,10,Night
6168,26.0,4.5,Fog,Jam,0,Meal,motorcycle,1.0,No,BANG,24,9.31,10.2,3,7,Night
6169,23.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,MUM,18,7.65,4.8,15,3,Night
6170,36.0,4.7,Sunny,Medium,2,Drinks,electric_scooter,1.0,No,COIMB,22,14.02,15.0,27,3,Evening
6171,20.0,4.9,Stormy,Medium,2,Drinks,scooter,1.0,No,DEH,26,16.15,10.2,18,2,Evening
6172,35.0,4.9,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,SUR,20,12.16,5.4,23,3,Night
6173,30.0,4.0,Stormy,Low,0,Drinks,motorcycle,0.0,No,COIMB,24,9.35,15.0,3,11,Night
6176,33.0,4.2,Windy,Low,0,Snack,motorcycle,0.0,No,SUR,23,3.04,9.6,4,1,Morning
6179,29.0,4.8,Sunny,Medium,2,Drinks,scooter,0.0,No,RANCHI,12,16.6,5.4,18,3,Evening
6180,27.0,4.6,Windy,Low,0,Drinks,motorcycle,1.0,No,KNP,19,16.41,10.2,16,2,Night
6181,21.0,4.8,Sandstorms,Medium,1,Drinks,motorcycle,0.0,No,JAP,21,4.47,15.0,3,3,Night
6182,37.0,4.2,Sandstorms,Medium,2,Buffet,scooter,1.0,No,DEH,31,8.81,15.0,2,11,Evening
6183,33.0,4.8,Windy,Medium,1,Drinks,scooter,1.0,No,JAP,23,11.92,4.8,4,6,Night
6185,24.0,4.8,Stormy,Medium,0,Drinks,motorcycle,1.0,No,PUNE,23,7.66,15.0,28,3,Evening
6186,38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,JAP,26,19.37,15.0,3,10,Night
6188,28.0,4.8,Fog,Medium,0,Buffet,motorcycle,0.0,No,RANCHI,26,9.06,15.0,17,3,Evening
6189,33.0,4.7,Windy,Low,2,Meal,scooter,0.0,No,HYD,23,3.07,10.2,3,11,Morning
6190,34.0,4.8,Fog,Low,1,Buffet,motorcycle,1.0,No,RANCHI,18,1.51,10.2,24,3,Morning
6191,28.0,4.2,Cloudy,Jam,1,Snack,motorcycle,0.0,No,KOL,31,16.65,4.8,14,2,Night
6192,39.0,5.0,Stormy,Low,1,Buffet,motorcycle,1.0,No,DEH,22,7.34,15.0,15,2,Night
6194,34.0,4.9,Stormy,Medium,0,Snack,motorcycle,1.0,No,PUNE,26,6.13,10.2,26,3,Evening
6195,20.0,4.6,Windy,Jam,2,Snack,scooter,0.0,No,SUR,23,4.56,10.2,3,3,Night
6196,23.0,4.0,Windy,Low,0,Drinks,motorcycle,0.0,No,RANCHI,17,3.02,10.2,4,5,Morning
6198,22.0,4.7,Windy,Low,1,Snack,motorcycle,0.0,No,VAD,14,11.01,15.0,18,3,Night
6199,29.0,5.0,Sunny,Jam,1,Snack,motorcycle,0.0,No,AURG,24,12.21,5.4,2,12,Night
6201,28.0,4.5,Windy,Jam,2,Buffet,scooter,0.0,No,PUNE,22,12.26,4.8,29,3,Night
6202,30.0,4.6,Cloudy,Jam,0,Snack,motorcycle,2.0,No,CHEN,44,10.87,15.0,4,4,Night
6203,29.0,4.8,Stormy,Medium,0,Buffet,motorcycle,0.0,No,BANG,18,6.21,10.2,26,3,Evening
6204,27.0,5.0,Fog,Medium,1,Buffet,scooter,0.0,No,COIMB,10,4.67,10.2,13,3,Night
6205,28.0,4.5,Fog,Low,2,Meal,motorcycle,1.0,No,VAD,21,10.6,15.0,3,6,Night
6206,28.0,4.2,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,INDO,17,1.51,10.2,3,11,Morning
6207,35.0,4.9,Cloudy,Jam,2,Meal,scooter,1.0,No,GOA,26,9.26,10.2,15,2,Night
6208,26.0,4.6,Sandstorms,Medium,1,Buffet,scooter,0.0,No,CHEN,21,17.08,9.6,25,3,Evening
6209,29.0,4.8,Sunny,Low,2,Snack,scooter,0.0,No,RANCHI,23,4.72,15.0,13,3,Night
6210,26.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,HYD,25,1.54,4.8,19,3,Morning
6211,38.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,CHEN,44,20.18,15.0,14,3,Night
6212,21.0,4.6,Sandstorms,Medium,2,Meal,scooter,1.0,No,MYS,28,9.33,10.2,4,3,Night
6215,35.0,4.8,Cloudy,Low,0,Buffet,motorcycle,1.0,No,RANCHI,27,3.02,4.8,24,3,Morning
6216,33.0,4.6,Sandstorms,Low,1,Drinks,motorcycle,0.0,No,MYS,26,4.66,15.0,17,3,Night
6217,31.0,4.7,Sandstorms,Jam,1,Buffet,motorcycle,0.0,No,BANG,25,12.42,15.0,18,3,Night
6218,39.0,4.7,Cloudy,Jam,0,Snack,motorcycle,2.0,No,SUR,46,16.72,10.2,27,3,Night
6219,21.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,MUM,18,7.65,15.0,3,1,Night
6220,35.0,4.5,Stormy,Jam,1,Buffet,motorcycle,1.0,No,PUNE,25,9.19,15.0,3,1,Night
6221,24.0,4.5,Windy,Jam,1,Snack,scooter,1.0,No,PUNE,27,4.6,9.6,3,5,Night
6222,38.0,5.0,Fog,Jam,2,Snack,scooter,1.0,Yes,VAD,43,12.58,15.0,20,3,Night
6224,29.0,4.6,Fog,Low,2,Snack,motorcycle,0.0,No,PUNE,28,16.85,9.6,4,2,Night
6225,25.0,4.9,Windy,Jam,0,Drinks,motorcycle,1.0,No,DEH,16,7.86,15.0,2,11,Night
6226,39.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,PUNE,28,13.79,5.4,27,3,Night
6227,33.0,4.6,Fog,Medium,0,Buffet,motorcycle,1.0,No,CHEN,38,10.87,4.8,3,4,Evening
6229,22.0,4.9,Stormy,Low,2,Meal,scooter,0.0,No,COIMB,13,12.46,15.0,4,2,Night
6231,36.0,4.6,Sunny,Medium,0,Snack,motorcycle,0.0,No,KNP,34,11.94,15.0,18,2,Night
6232,37.0,4.6,Sunny,High,2,Snack,electric_scooter,1.0,No,MYS,24,6.22,4.8,15,3,Evening
6233,37.0,4.2,Cloudy,Jam,2,Meal,scooter,2.0,No,DEH,42,20.44,4.8,18,2,Night
6236,34.0,4.7,Fog,High,2,Buffet,scooter,1.0,No,CHEN,27,6.21,9.6,3,9,Evening
6238,28.0,4.6,Stormy,Low,2,Meal,scooter,1.0,No,SUR,13,3.04,4.8,3,11,Morning
6239,20.0,4.7,Sunny,Jam,1,Drinks,motorcycle,0.0,No,MYS,17,4.66,5.4,30,3,Night
6240,24.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,JAP,22,19.36,9.6,4,4,Night
6243,23.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,1.0,Yes,CHEN,44,12.42,4.8,29,3,Evening
6245,38.0,3.5,Fog,Low,2,Buffet,scooter,1.0,No,ALH,33,19.47,15.0,18,2,Night
6246,21.0,4.5,Sunny,Low,2,Drinks,scooter,0.0,No,MYS,30,17.1,5.4,20,3,Night
6247,27.0,5.0,Cloudy,Medium,0,Meal,motorcycle,3.0,No,PUNE,43,19.92,4.8,29,3,Evening
6248,28.0,4.0,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,VAD,32,16.66,10.2,3,10,Night
6250,25.0,4.7,Fog,Medium,2,Buffet,scooter,0.0,No,MUM,11,6.12,9.6,26,3,Evening
6251,39.0,4.4,Sunny,Medium,0,Drinks,motorcycle,1.0,No,PUNE,35,19.91,4.8,18,3,Night
6252,31.0,3.8,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,JAP,31,19.36,15.0,3,10,Night
6253,23.0,4.9,Windy,Medium,1,Buffet,scooter,1.0,No,INDO,25,4.54,4.8,3,5,Night
6256,37.0,4.6,Cloudy,Low,1,Meal,motorcycle,0.0,No,KOC,16,1.56,4.8,15,2,Morning
6258,31.0,4.6,Fog,Medium,1,Buffet,motorcycle,0.0,No,COIMB,19,6.23,15.0,3,7,Evening
6259,38.0,4.9,Stormy,Low,1,Drinks,motorcycle,1.0,No,BANG,26,10.87,9.6,4,2,Night
6260,36.0,4.8,Sunny,Jam,0,Buffet,motorcycle,1.0,No,RANCHI,28,9.44,10.2,28,3,Night
6263,28.0,4.9,Windy,Medium,1,Drinks,motorcycle,0.0,No,RANCHI,21,7.55,9.6,4,1,Evening
6264,36.0,4.4,Windy,Jam,0,Meal,motorcycle,2.0,No,HYD,40,19.97,10.2,18,3,Night
6266,33.0,3.8,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,MYS,34,10.88,10.2,27,3,Night
6267,27.0,4.6,Sandstorms,Low,1,Meal,motorcycle,0.0,No,BANG,16,3.11,5.4,3,1,Morning
6269,29.0,4.9,Cloudy,Low,2,Buffet,scooter,1.0,No,PUNE,22,10.72,4.8,3,8,Night
6272,35.0,4.8,Stormy,Medium,0,Buffet,motorcycle,1.0,No,DEH,49,11.75,4.8,2,12,Night
6273,23.0,4.6,Stormy,Low,1,Drinks,motorcycle,1.0,No,LUDH,12,13.18,4.8,16,2,Night
6274,23.0,4.6,Cloudy,Jam,1,Meal,scooter,0.0,No,AURG,27,4.58,10.2,2,11,Night
6275,33.0,5.0,Fog,Jam,1,Drinks,motorcycle,3.0,Yes,MUM,47,13.76,4.8,27,3,Night
6276,35.0,4.9,Stormy,Jam,1,Drinks,scooter,2.0,No,MUM,34,9.18,15.0,3,9,Night
6280,37.0,4.7,Sunny,Medium,2,Drinks,scooter,0.0,No,BHP,22,6.29,4.8,2,11,Evening
6281,31.0,4.7,Cloudy,High,2,Snack,motorcycle,1.0,No,BANG,27,1.55,10.2,4,1,Morning
6282,22.0,5.0,Cloudy,High,2,Meal,scooter,0.0,No,BANG,25,3.11,15.0,24,3,Morning
6284,25.0,4.8,Sunny,Medium,2,Snack,scooter,0.0,No,COIMB,11,6.23,10.2,3,5,Evening
6286,31.0,4.9,Cloudy,Jam,0,Drinks,motorcycle,3.0,No,BANG,49,17.08,10.2,14,3,Night
6287,26.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,JAP,19,13.41,15.0,29,3,Night
6288,35.0,4.6,Windy,High,1,Buffet,scooter,0.0,No,HYD,25,6.15,15.0,28,3,Evening
6290,20.0,4.7,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,ALH,24,7.86,15.0,17,2,Night
6291,24.0,4.8,Fog,Jam,0,Snack,motorcycle,1.0,No,PUNE,38,16.85,15.0,4,4,Night
6292,39.0,3.8,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,SUR,32,13.68,9.6,31,3,Night
6293,34.0,4.9,Sunny,Low,1,Snack,scooter,0.0,No,SUR,19,3.04,15.0,4,1,Morning
6294,21.0,4.8,Windy,Jam,0,Buffet,motorcycle,2.0,No,CHEN,35,9.31,10.2,15,3,Night
6295,34.0,4.6,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,MYS,40,10.88,15.0,29,3,Evening
6296,27.0,4.5,Stormy,Medium,1,Drinks,motorcycle,0.0,No,RANCHI,19,19.62,15.0,3,12,Night
6298,21.0,4.8,Sunny,Medium,2,Meal,scooter,1.0,No,CHEN,13,12.42,10.2,20,3,Night
6300,29.0,4.9,Stormy,Medium,0,Meal,motorcycle,1.0,No,INDO,29,16.64,4.8,3,10,Night
6301,34.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,CHEN,21,1.55,4.8,4,5,Morning
6303,29.0,4.8,Stormy,Low,0,Snack,motorcycle,1.0,No,SUR,19,13.68,9.6,25,3,Night
6304,20.0,4.5,Sunny,Medium,1,Snack,motorcycle,1.0,No,INDO,10,7.56,10.2,3,1,Night
6305,33.0,4.6,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,INDO,41,12.1,4.8,29,3,Night
6306,30.0,4.4,Cloudy,High,0,Snack,motorcycle,1.0,No,COIMB,34,6.23,15.0,3,3,Evening
6307,22.0,4.6,Sunny,Jam,1,Snack,motorcycle,1.0,No,PUNE,13,7.66,15.0,3,7,Night
6309,33.0,4.2,Cloudy,Jam,1,Buffet,scooter,1.0,No,CHEN,44,12.42,15.0,20,3,Night
6311,29.0,4.6,Windy,High,1,Buffet,scooter,0.0,No,CHEN,23,6.21,4.8,30,3,Evening
6313,20.0,4.1,Windy,Low,0,Meal,motorcycle,0.0,No,VAD,23,7.86,10.2,30,3,Night
6314,22.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,BANG,26,4.66,4.8,3,7,Night
